,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3037,Iran ,Female,22.0,4.0,1.0,1.0,High school or technical school,Worse than average,Muslim,Moderately,Disagree strongly,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Rather yes,Somewhat Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree slightly,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3038,Iran ,Male,39.0,16.0,2.0,2.0,Secondary school,Better than average,Muslim,Slightly religious,Agree somewhat,Yes,Rather yes,Neither yes or no,Yes,Rather yes,Yes,Yes,Neither yes or no,Yes,Very Satisfied,Very Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Agree slightly,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3039,Iran ,Male,61.0,37.0,9.0,0.0,Secondary school,Much worse than average,Muslim,Somewhat religious,Agree somewhat,Yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Disagree somewhat,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3040,Iran ,Female,56.0,30.0,6.0,2.0,Secondary school,Better than average,Muslim,Slightly religious,Neither agree nor disagree,Rather yes,Neither yes or no,Neither yes or no,Neither yes or no,Rather yes,Yes,Neither yes or no,Neither yes or no,Neither yes or no,Slightly Satisfied,Somewhat Satisfied,Slightly Satisfied,Agree slightly,Agree somewhat,Disagree strongly,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3041,Iran ,Female,38.0,19.0,2.0,2.0,Secondary school,Worse than average,Muslim,Somewhat irreligious,Disagree strongly,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Neither yes or no,Rather yes,Somewhat Satisfied,Slightly Satisfied,Slightly Satisfied,Agree somewhat,Agree somewhat,Strongly agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3042,Iran ,Male,27.0,4.0,0.0,0.0,High school or technical school,Average,Muslim,Slightly religious,Neither agree nor disagree,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Very Satisfied,Very Satisfied,Somewhat Satisfied,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3043,Iran ,Male,37.0,7.0,1.0,1.0,High school or technical school,Better than average,Muslim,Slightly religious,Neither agree nor disagree,Yes,Rather yes,Rather yes,Neither yes or no,Yes,Neither yes or no,Neither yes or no,Rather no,Rather yes,Very Satisfied,Slightly Satisfied,Very Satisfied,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3044,Iran ,Female,44.0,21.0,2.0,2.0,Primary school,Average,Muslim,Slightly religious,Disagree slightly,Neither yes or no,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,No,Neutral,Slightly Dissatisfied,Slightly Satisfied,Agree slightly,Neither agree nor disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3045,Iran ,Male,40.0,7.0,1.0,1.0,Primary school,Average,Muslim,Extremely,Agree somewhat,Yes,Yes,Yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,Agree somewhat,Agree slightly,Agree somewhat,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3046,Iran ,Female,47.0,26.0,2.0,1.0,Secondary school,Average,Muslim,Extremely,Strongly agree,No,Rather yes,No,Rather no,No,Rather yes,No,No,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Strongly agree,Strongly agree,Agree slightly,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3047,Iran ,Male,27.0,5.0,1.0,1.0,High school or technical school,Average,Muslim,Extremely,Agree slightly,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Somewhat Satisfied,Slightly Satisfied,Very Satisfied,Agree somewhat,Agree somewhat,Agree slightly,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3048,Iran ,Male,27.0,3.0,1.0,1.0,Bachelors or Masters degree,Average,Muslim,Extremely,Neither agree nor disagree,Yes,Yes,Yes,Rather yes,Yes,Yes,Rather yes,Yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Neither agree nor disagree,Agree somewhat,Agree slightly,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
3049,Iran ,Female,46.0,28.0,3.0,2.0,Primary school,Worse than average,Muslim,Moderately,Disagree strongly,Rather yes,Rather no,Neither yes or no,Rather yes,Rather yes,Rather yes,Neither yes or no,No,Yes,Somewhat Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Agree somewhat,Disagree slightly,Strongly agree,Agree somewhat,Agree slightly,Agree somewhat,Agree somewhat
3050,Iran ,Male,30.0,2.0,0.0,0.0,High school or technical school,Worse than average,Muslim,Slightly irreligious,Agree slightly,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Strongly agree,Agree slightly,Agree somewhat
3051,Iran ,Female,44.0,21.0,2.0,1.0,Secondary school,Average,Muslim,Moderately,Disagree slightly,Neither yes or no,Rather yes,Neither yes or no,Neither yes or no,Rather yes,Rather yes,Rather yes,No,Neither yes or no,Neutral,Neutral,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Strongly agree,Agree slightly,Agree somewhat
