,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
34,Brazil ,2,60,26,2,0,5,0,Catholic,5,1,1,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,3,3,1,1
35,Brazil ,2,33,2,0,0,5,1,Catholic,4,-2,1,1,1,1,1,1,1,0,2,2,2,2,0,1,0,1,1,1,1,1
36,Brazil ,1,42,17,1,1,5,1,Catholic,6,0,2,2,2,2,2,2,2,2,2,2,2,3,0,2,0,2,3,3,0,1
37,Brazil ,1,25,4,0,0,4,1,Catholic,5,-2,2,1,1,2,1,2,1,1,1,0,1,1,1,3,-1,2,3,3,0,1
38,Brazil ,1,30,9,0,0,5,0,Catholic,2,0,2,2,2,2,2,2,2,1,2,3,3,3,2,3,1,3,3,3,-2,1
39,Brazil ,1,25,5,1,0,4,1,Catholic,6,-3,2,1,2,2,2,2,2,2,2,0,1,1,3,3,0,3,3,3,-2,1
40,Brazil ,1,29,6,0,0,5,0,Catholic,3,-3,2,2,2,2,2,2,2,2,2,3,3,3,1,1,-1,2,3,3,-2,1
41,Brazil ,2,43,18,2,2,4,0,Catholic,5,-2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,-2,3,2,3,-3,1
42,Brazil ,1,28,4,1,1,5,1,Catholic,7,-3,2,2,1,2,2,2,2,2,2,3,3,3,2,2,0,1,2,2,1,0
43,Brazil ,1,27,3,0,0,5,0,Catholic,3,-3,2,1,2,2,2,2,0,1,1,0,1,1,1,2,-2,0,3,3,0,0
44,Brazil ,1,27,8,0,0,5,1,Catholic,5,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,-1,1,3,3,-2,0
45,Brazil ,1,35,2,0,0,5,1,Catholic,3,-2,2,1,2,2,2,2,2,1,2,1,0,0,-1,1,-1,3,3,3,-2,-1
46,Brazil ,1,29,7,2,2,5,2,Catholic,6,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0,2,2,2,-1,-2
47,Brazil ,1,27,1,0,0,5,1,Catholic,4,-3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,0,1,3,3,0,-3
48,Brazil ,1,33,13,2,3,5,2,Muslim,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,1,1
49,Brazil ,2,54,13,1,1,5,1,Muslim,1,1,2,2,2,2,2,2,2,2,2,3,3,3,0,1,0,2,2,3,0,1
